Source,Weight_kg,Sex,Age_yrs,Length_cm,Month,Year
ATSEA,0.55,M,9,48,5,2012
ATSEA,0.56,F,4,50,5,2012
ATSEA,0.58,F,14,54,5,2012
ATSEA,0.62,M,7,46,5,2012
ATSEA,0.62,M,6,48,5,2012
ATSEA,1.06,F,7,58,5,2012
ATSEA,0.39,M,4,40,5,2012
ATSEA,0.66,F,7,49,5,2012
ATSEA,0.5,M,6,44,5,2012
ATSEA,0.64,M,6,48,5,2012
ATSEA,0.38,F,4,40,5,2012
ATSEA,0.37,M,3,39,5,2012
ATSEA,0.34,M,3,38,5,2012
ATSEA,0.39,F,4,41,5,2012
ATSEA,0.49,F,4,44,5,2012
ATSEA,0.52,F,4,44,5,2012
ATSEA,0.9,F,14,56,5,2012
ATSEA,0.35,M,4,40,5,2012
ATSEA,0.41,M,4,41,5,2012
ATSEA,0.38,F,4,42,5,2012
ATSEA,0.49,M,6,44,5,2012
ATSEA,0.76,M,11,51,5,2012
ATSEA,0.52,F,4,44,5,2012
ATSEA,0.61,M,7,48,5,2012
ATSEA,0.4,F,4,40,5,2012
ATSEA,0.67,F,8,47,5,2012
ATSEA,0.51,M,8,45,5,2012
ATSEA,0.57,M,7,48,5,2012
ATSEA,0.94,F,12,54,5,2012
ATSEA,0.45,F,6,41,5,2012
ATSEA,0.48,F,4,44,5,2012
ATSEA,0.92,F,13,54,5,2012
ATSEA,0.35,F,5,38,5,2012
ATSEA,0.37,F,4,39,5,2012
ATSEA,0.7,F,7,49,5,2012
ATSEA,0.39,M,4,40,5,2012
ATSEA,0.41,M,3,40,5,2012
ATSEA,0.45,F,4,42,5,2012
ATSEA,0.49,M,5,42,5,2012
ATSEA,0.48,F,4,43,5,2012
ATSEA,1.12,F,11,59,5,2012
ATSEA,0.54,M,6,44,5,2012
ATSEA,0.54,M,7,48,5,2012
ATSEA,0.4,F,4,40,5,2012
ATSEA,0.33,M,4,40,5,2012
ATSEA,0.38,M,4,42,5,2012
ATSEA,0.3,F,3,38,5,2012
ATSEA,0.36,M,4,39,5,2012
ATSEA,0.47,F,4,43,5,2012
ATSEA,0.7,F,7,52,5,2012
ATSEA,0.88,M,16,46,5,2012
ATSEA,0.74,F,6,50,5,2012
ATSEA,1,F,11,58,5,2012
ATSEA,0.49,M,6,42,5,2012
ATSEA,0.61,M,6,48,5,2012
ATSEA,0.57,F,9,47,5,2012
ATSEA,0.38,M,4,41,5,2012
ATSEA,0.42,F,3,40,5,2012
ATSEA,0.43,F,4,42,5,2012
ATSEA,0.29,M,3,37,5,2012
ATSEA,0.51,M,9,44,5,2012
ATSEA,0.33,F,4,38,5,2012
ATSEA,0.34,F,2,39,5,2012
ATSEA,0.52,F,4,43,5,2012
ATSEA,0.46,F,6,46,5,2012
ATSEA,0.24,M,3,35,5,2012
ATSEA,0.37,M,4,40,5,2012
ATSEA,0.48,F,5,42,5,2012
ATSEA,0.36,M,3,40,5,2012
ATSEA,0.35,F,4,39,5,2012
ATSEA,0.47,F,4,42,5,2012
ATSEA,0.35,M,3,39,6,2012
ATSEA,0.73,M,13,52,6,2012
ATSEA,0.36,F,4,40,6,2012
ATSEA,0.3,M,3,37,6,2012
ATSEA,0.47,M,4,44,6,2012
ATSEA,0.54,F,6,48,6,2012
ATSEA,0.37,M,4,41,6,2012
ATSEA,0.51,F,4,44,6,2012
ATSEA,0.55,F,7,46,6,2012
ATSEA,0.74,M,12,52,5,2012
ATSEA,0.32,F,5,38,5,2012
ATSEA,0.56,F,6,48,5,2012
ATSEA,0.4,M,4,41,5,2012
ATSEA,0.35,F,4,39,5,2012
ATSEA,0.41,F,4,41,5,2012
ATSEA,0.35,F,12,39,5,2012
ATSEA,0.37,F,4,41,5,2012
ATSEA,0.81,F,4,53,5,2012
ATSEA,0.36,M,4,39,5,2012
ATSEA,0.38,M,4,42,5,2012
ATSEA,0.44,F,4,43,5,2012
ATSEA,0.26,M,3,36,5,2012
ATSEA,0.68,M,6,51,5,2012
ATSEA,0.43,F,4,41,5,2012
ATSEA,0.63,M,9,49,5,2012
ATSEA,0.58,F,6,45,5,2012
ATSEA,0.64,F,6,49,5,2012
ATSEA,0.4,M,4,42,5,2012
ATSEA,0.66,M,6,48,5,2012
ATSEA,0.32,F,3,38,5,2012
ATSEA,0.44,M,3,42,5,2012
ATSEA,0.41,F,4,42,5,2012
ATSEA,0.72,F,8,49,5,2012
ATSEA,0.38,M,4,40,5,2012
ATSEA,0.59,F,14,48,5,2012
ATSEA,0.69,F,11,52,5,2012
ATSEA,0.32,M,4,39,5,2012
ATSEA,0.44,M,4,44,5,2012
ATSEA,0.65,F,15,52,5,2012
ATSEA,0.37,F,4,39,5,2012
ATSEA,0.4,F,4,42,5,2012
ATSEA,0.59,F,8,49,5,2012
ATSEA,0.37,M,4,40,5,2012
ATSEA,0.47,M,4,42,5,2012
ATSEA,0.54,F,6,47,5,2012
ATSEA,0.34,M,3,39,5,2012
ATSEA,0.51,F,4,44,5,2012
ATSEA,0.63,F,6,50,5,2012
ATSEA,0.37,M,4,41,5,2012
ATSEA,0.36,F,4,38,5,2012
ATSEA,0.43,F,4,41,5,2012
ATSEA,0.36,M,3,39,5,2012
ATSEA,0.43,M,4,41,5,2012
ATSEA,0.42,M,4,42,5,2012
ATSEA,0.71,M,8,50,5,2012
ATSEA,0.83,M,8,52,5,2012
ATSEA,1.02,F,10,55,5,2012
ATSEA,0.46,M,4,43,5,2012
ATSEA,0.4,F,4,40,5,2012
ATSEA,0.67,F,6,49,5,2012
ATSEA,0.43,M,4,41,5,2012
ATSEA,0.6,M,4,47,5,2012
ATSEA,0.45,F,4,44,5,2012
ATSEA,0.64,M,8,49,5,2012
ATSEA,0.72,F,6,49,5,2012
ATSEA,0.99,F,13,57,5,2012
ATSEA,0.78,M,13,52,5,2012
ATSEA,0.68,F,6,51,5,2012
ATSEA,0.94,F,11,55,5,2012
ATSEA,0.24,M,3,35,6,2012
ATSEA,0.31,M,4,38,6,2012
ATSEA,0.35,M,3,40,6,2012
ATSEA,0.57,F,4,47,5,2012
