"year","age","pred_weight"
1984,4,0.438561294433346
1984,5,0.441399941352785
1984,6,0.414495069149724
1984,7,0.62081863356016
1984,8,0.482975337457683
1984,9,0.693865933710513
1984,10,0.660915120261199
1984,11,0.818164332903131
1984,12,0.703736344578507
1984,13,0.886288383015429
1984,14,1.06495303480168
1984,15,1.16125139467818
1985,0,0.0148658897008584
1985,1,0.0960315686529572
1985,2,0.197731315929265
1985,3,0.309963369000622
1985,4,0.3655481368106
1985,5,0.552686227706253
1985,6,0.522135255470708
1985,7,0.490270326873118
1985,8,0.770225591177097
1985,9,0.584448601203935
1985,10,0.798915882650377
1985,11,0.775778910572625
1985,12,0.973231890097531
1985,13,0.802746316246503
1985,14,1.01370811770659
1985,15,1.28958075062244
1986,0,0.0161759339282865
1986,1,0.0753868281888067
1986,2,0.267026043886002
1986,3,0.295217858430433
1986,4,0.361512583410312
1986,5,0.402151308485345
1986,6,0.570723767474774
1986,7,0.539132890904217
1986,8,0.53098882149767
1986,9,0.813646727484314
1986,10,0.587446582779624
1986,11,0.818634240285811
1986,12,0.805583062009379
1986,13,0.969128221151612
1986,14,0.801517036098809
1986,15,1.07158735345694
1987,0,0.0164445417591958
1987,1,0.0770070088555633
1987,2,0.196784729883144
1987,3,0.374263190502137
1987,4,0.323230248957044
1987,5,0.373357306977368
1987,6,0.389846040454436
1987,7,0.553216459894142
1987,8,0.548153160370498
1987,9,0.526574278463301
1987,10,0.767740171735188
1987,11,0.565084711390628
1987,12,0.798028842192314
1987,13,0.753063434813079
1987,14,0.908389283341219
1987,15,0.795396614409459
1988,0,0.0173536849977293
1988,1,0.0898487669127391
1988,2,0.230704270269935
1988,3,0.316551476745909
1988,4,0.470301042795012
1988,5,0.383126937641399
1988,6,0.415391639861838
1988,7,0.433702291562418
1988,8,0.645551125812694
1988,9,0.623886574820255
1988,10,0.570252870038561
1988,11,0.847595995163894
1988,12,0.632225042977696
1988,13,0.856188277285057
1988,14,0.810124520284363
1988,15,1.03459991258833
1989,0,0.0160207970668161
1989,1,0.0869873064844459
1989,2,0.246951306457599
1989,3,0.340472790652246
1989,4,0.364936244348893
1989,5,0.511423242631396
1989,6,0.391065598099854
1989,7,0.423965159974731
1989,8,0.464302577621221
1989,9,0.674074951325338
1989,10,0.619851001066932
1989,11,0.577585043205308
1989,12,0.870003222897317
1989,13,0.622294857837848
1989,14,0.845012866965791
1989,15,0.846498203756009
1990,0,0.0174974335142432
1990,1,0.0844551456172896
1990,2,0.251439157337858
1990,3,0.383279796738248
1990,4,0.412793535192693
1990,5,0.417348964626507
1990,6,0.548990979312695
1990,7,0.419758841641937
1990,8,0.477328504056174
1990,9,0.5098664823307
1990,10,0.704316200389943
1990,11,0.660257872267262
1990,12,0.623484593256439
1990,13,0.900581873595953
1990,14,0.645904156550577
1990,15,0.928571623713359
1991,0,0.0190801349864925
1991,1,0.0906937682662728
1991,2,0.240029291619684
1991,3,0.383706018445401
1991,4,0.456906675729156
1991,5,0.464169209643632
1991,6,0.44049926342433
1991,7,0.57939740724879
1991,8,0.464673763639166
1991,9,0.515387447692646
1991,10,0.523813939297761
1991,11,0.737658002499405
1991,12,0.700784479710699
1991,13,0.634584069491616
1991,14,0.919086035815966
1991,15,0.697880822818665
1992,0,0.0175585805816246
1992,1,0.101318387356287
1992,2,0.264070146351962
1992,3,0.375261208571608
1992,4,0.468612552820157
1992,5,0.526350058584484
1992,6,0.501910065658001
1992,7,0.476277709541754
1992,8,0.657095628070992
1992,9,0.514006191809333
1992,10,0.542448054639058
1992,11,0.562041213042709
1992,12,0.802102141801185
1992,13,0.730721094898973
1992,14,0.663476985052643
1992,15,1.01735631129852
1993,0,0.0160573229172768
1993,1,0.0778014710897335
1993,2,0.246162393417638
1993,3,0.344492930207537
1993,4,0.38241996523068
1993,5,0.450456302923799
1993,6,0.474914938478875
1993,7,0.452827249509029
1993,8,0.450716922814921
1993,9,0.606513335438519
1993,10,0.451423587240001
1993,11,0.485669516161939
1993,12,0.509957940105862
1993,13,0.697892327895805
1993,14,0.637499605014797
1993,15,0.612822012067849
1994,0,0.0189084365710363
1994,1,0.0915156995605003
1994,2,0.24313378154464
1994,3,0.413053942930061
1994,4,0.451555625613075
1994,5,0.472828195878386
1994,6,0.522778696918861
1994,7,0.551120463824406
1994,8,0.551188591914598
1994,9,0.535105851317185
1994,10,0.685141556518432
1994,11,0.51986549802521
1994,12,0.566801642047593
1994,13,0.5707122113245
1994,14,0.78314243652361
1994,15,0.757377628631789
1995,0,0.0181923467692434
1995,1,0.105461223499014
1995,2,0.279877394171561
1995,3,0.399250154607267
1995,4,0.529849388678907
1995,5,0.546372444222517
1995,6,0.537011148990763
1995,7,0.593694889245965
1995,8,0.656491225941663
1995,9,0.64039919517516
1995,10,0.591553975778908
1995,11,0.772150184785529
1995,12,0.593739540341614
1995,13,0.620767009548895
1995,14,0.626735392846566
1995,15,0.910516944888249
1996,0,0.0166182478169563
1996,1,0.0894759218550229
1996,2,0.284410283204258
1996,3,0.405273196052513
1996,4,0.451617778237725
1996,5,0.565340683821701
1996,6,0.547203661980841
1996,7,0.537785393292266
1996,8,0.623628523485508
1996,9,0.672604478538679
1996,10,0.624289063017896
1996,11,0.58789006211527
1996,12,0.777655105541039
1996,13,0.573421235469611
1996,14,0.601140454863737
1996,15,0.642557159341331
1997,0,0.0187491993960518
1997,1,0.0879820889904206
1997,2,0.259746828363849
1997,3,0.443319604221183
1997,4,0.493475278319932
1997,5,0.518704976404073
1997,6,0.609483607440926
1997,7,0.589883539500526
1997,8,0.608083536078439
1997,9,0.68777816135536
1997,10,0.705807528201335
1997,11,0.667850184388237
1997,12,0.637342602083092
1997,13,0.808456040409382
1997,14,0.597740498881244
1997,15,0.66342996621583
1998,0,0.0164034476066193
1998,1,0.0919834475462042
1998,2,0.236677110195994
1998,3,0.375180114983923
1998,4,0.500210003735907
1998,5,0.525209656190447
1998,6,0.518191304360869
1998,7,0.608831660581368
1998,8,0.618071099866198
1998,9,0.621446251715715
1998,10,0.668794711295278
1998,11,0.699676885380622
1998,12,0.670924725780603
1998,13,0.613988516485896
1998,14,0.780932031467382
1998,15,0.611293428406663
1999,0,0.0156270789162943
1999,1,0.0831248680620593
1999,2,0.255588052932658
1999,3,0.35311380351684
1999,4,0.437264405786174
1999,5,0.549906119328053
1999,6,0.541965057093108
1999,7,0.534680318605547
1999,8,0.658928460773358
1999,9,0.652450612236291
1999,10,0.624190133100208
1999,11,0.684814502014298
1999,12,0.726041009411411
1999,13,0.667620978265591
1999,14,0.612612639509976
1999,15,0.824933917145635
2000,0,0.0216436149715099
2000,1,0.107269917285154
2000,2,0.312871599775898
2000,3,0.51653920959841
2000,4,0.557472330079592
2000,5,0.651155349932912
2000,6,0.768654977968123
2000,7,0.757494826399629
2000,8,0.783861876784374
2000,9,0.942218830249712
2000,10,0.887698071902902
2000,11,0.865767592032495
2000,12,0.962588970212323
2000,13,0.978637011683069
2000,14,0.902318759260976
2000,15,0.876589337091554
2001,0,0.0230814610077503
2001,1,0.116120816964847
2001,2,0.315568221594089
2001,3,0.494207156123257
2001,4,0.637370645364103
2001,5,0.648849457350563
2001,6,0.711389822171616
2001,7,0.839691914526604
2001,8,0.867970887093319
2001,9,0.876058683906071
2001,10,1.00195808891587
2001,11,0.962342896833027
2001,12,0.95115084956839
2001,13,1.01410169467529
2001,14,1.03378872449989
2001,15,1.00913753428342
2002,0,0.0237237103181542
2002,1,0.121940507798465
2002,2,0.33637973183318
2002,3,0.490840703615381
2002,4,0.600485070991414
2002,5,0.730494765257021
2002,6,0.698025680814278
2002,7,0.765245167051545
2002,8,0.94743599344333
2002,9,0.955219622417591
