"age","year","doy","p_mature","model"
4,2010,182,0.910194025592664,"Spatial + temperature"
4,2010,278,0.978182999314306,"Spatial + temperature"
4,2011,182,0.797876332265327,"Spatial + temperature"
4,2011,278,0.945837134301469,"Spatial + temperature"
4,2012,182,0.744896191810475,"Spatial + temperature"
4,2012,278,0.928147501610397,"Spatial + temperature"
4,2013,182,0.805105591881542,"Spatial + temperature"
4,2013,278,0.948118463959766,"Spatial + temperature"
4,2014,182,0.898133215119451,"Spatial + temperature"
4,2014,278,0.975002237395964,"Spatial + temperature"
4,2015,182,0.907193297573912,"Spatial + temperature"
4,2015,278,0.977397604757992,"Spatial + temperature"
4,2016,182,0.661284089880238,"Spatial + temperature"
4,2016,278,0.896230242173887,"Spatial + temperature"
4,2017,182,0.895941996381023,"Spatial + temperature"
4,2017,278,0.97441742116284,"Spatial + temperature"
4,2018,182,0.910892919264524,"Spatial + temperature"
4,2018,278,0.978365361448545,"Spatial + temperature"
4,2019,182,0.785539728418115,"Spatial + temperature"
4,2019,278,0.941873400676485,"Spatial + temperature"
4,2020,182,0.91231286599364,"Spatial + temperature"
4,2020,278,0.978735215938278,"Spatial + temperature"
4,2021,182,0.910177086246848,"Spatial + temperature"
4,2021,278,0.97817857670374,"Spatial + temperature"
4,2022,182,0.910121330430393,"Spatial + temperature"
4,2022,278,0.978164018811337,"Spatial + temperature"
4,2023,182,0.90620081814307,"Spatial + temperature"
4,2023,278,0.977136972819298,"Spatial + temperature"
4,2024,182,0.786906669336895,"Spatial + temperature"
4,2024,278,0.942317062067538,"Spatial + temperature"
5,2003,182,0.977945328109152,"Spatial + temperature"
5,2003,278,0.994927975377342,"Spatial + temperature"
5,2004,182,0.975941851927057,"Spatial + temperature"
5,2004,278,0.994458483967487,"Spatial + temperature"
5,2005,182,0.978037157809563,"Spatial + temperature"
5,2005,278,0.994949459102356,"Spatial + temperature"
5,2006,182,0.960292642765437,"Spatial + temperature"
5,2006,278,0.99073958218612,"Spatial + temperature"
5,2007,182,0.972089646834514,"Spatial + temperature"
5,2007,278,0.993551582920215,"Spatial + temperature"
5,2008,182,0.901650802815653,"Spatial + temperature"
5,2008,278,0.975936559637797,"Spatial + temperature"
5,2009,182,0.952453140261051,"Spatial + temperature"
5,2009,278,0.988841429527391,"Spatial + temperature"
5,2010,182,0.976946240296221,"Spatial + temperature"
5,2010,278,0.994694036036652,"Spatial + temperature"
5,2011,182,0.944103613397207,"Spatial + temperature"
5,2011,278,0.986793310817183,"Spatial + temperature"
5,2012,182,0.925788343984092,"Spatial + temperature"
5,2012,278,0.982202253108513,"Spatial + temperature"
5,2013,182,0.946187306505264,"Spatial + temperature"
5,2013,278,0.987307022078889,"Spatial + temperature"
5,2014,182,0.97399410889654,"Spatial + temperature"
5,2014,278,0.99400062851714,"Spatial + temperature"
5,2015,182,0.976150518302171,"Spatial + temperature"
5,2015,278,0.994507451714704,"Spatial + temperature"
5,2016,182,0.891555227195327,"Spatial + temperature"
5,2016,278,0.97324012596816,"Spatial + temperature"
5,2017,182,0.973309861291341,"Spatial + temperature"
5,2017,278,0.993839448050669,"Spatial + temperature"
5,2018,182,0.978017806740002,"Spatial + temperature"
