yr,fishery_independent_cpue,author,model,value,model_type,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2006,Yes,Helser et al,q=.6,2+ biomass million mt,,,,,,,,8.804,8.676,8.493,8.426,8.445,8.507,8.686,10.741,10.864,10.229,10.761,9.908,9.254,8.347,9.808,8.953,8.14,12.984,12.227,10.607,9.118,10.47,9.28,8.026,7.516,6.643,5.492,4.866,4.163,3.294,2.979,2.812,2.556,2.34,2.166,2.295,4.801,4.699,4.427,3.68,3.389,,,,,,,,,,,,,,,,,,
2006,Yes,Helser et al,q=1,SB million mt,,,,,,,,3.814,3.75,3.66,3.636,3.628,3.641,3.856,4.385,4.589,4.518,4.507,4.283,3.99,3.817,4.012,3.979,3.771,4.157,4.615,4.581,4.197,3.975,3.725,3.55,3.259,2.893,2.471,2.11,1.816,1.473,1.293,1.169,1.056,0.952,0.88,1.054,1.485,1.684,1.617,1.386,1.178,,,,,,,,,,,,,,,,,,
2006,Yes,Helser et al,q=.6,SB million mt,,,,,,,,4.287,4.224,4.133,4.11,4.108,4.13,4.372,4.962,5.19,5.113,5.101,4.851,4.518,4.315,4.518,4.469,4.231,4.643,5.134,5.088,4.654,4.399,4.117,3.913,3.589,3.185,2.724,2.33,2.007,1.638,1.443,1.314,1.202,1.102,1.044,1.288,1.857,2.132,2.075,1.826,1.601,,,,,,,,,,,,,,,,,,
2007,Yes,Helser and Martell,q=1,2+ biomass million mt,,,,,,,,7.336,7.207,7.025,6.958,6.973,7.026,7.199,8.999,9.127,8.593,9.084,8.362,7.831,7.079,8.464,7.748,7.063,11.564,10.916,9.466,8.135,9.471,8.399,7.263,6.834,6.056,4.999,4.446,3.809,2.999,2.719,2.566,2.317,2.097,1.902,1.967,4.106,3.985,3.706,3.022,2.667,2.496,,,,,,,,,,,,,,,,,
2007,Yes,Helser and Martell,q=.6,2+ biomass million mt,,,,,,,,8.698,8.569,8.387,8.32,8.356,8.44,8.645,10.757,10.906,10.283,10.861,10.016,9.375,8.472,10.055,9.196,8.382,13.526,12.756,11.069,9.516,10.991,9.755,8.45,7.945,7.046,5.846,5.217,4.484,3.578,3.269,3.126,2.879,2.671,2.494,2.633,5.498,5.377,5.054,4.227,3.838,3.698,,,,,,,,,,,,,,,,,
2007,Yes,Helser and Martell,q=1,SB million mt,,,,,,,,3.574,3.511,3.421,3.398,3.394,3.412,3.631,4.154,4.359,4.3,4.302,4.094,3.822,3.673,3.888,3.872,3.685,4.1,4.573,4.544,4.165,3.953,3.711,3.543,3.259,2.898,2.48,2.124,1.833,1.492,1.316,1.197,1.088,0.986,0.916,1.111,1.587,1.807,1.738,1.496,1.295,1.146,,,,,,,,,,,,,,,,,
2007,Yes,Helser and Martell,q=.6,SB million mt,,,,,,,,4.148,4.085,3.995,3.973,3.977,4.006,4.258,4.852,5.084,5.019,5.026,4.79,4.47,4.286,4.517,4.483,4.262,4.723,5.254,5.216,4.773,4.518,4.233,4.03,3.703,3.291,2.823,2.424,2.096,1.723,1.529,1.406,1.299,1.203,1.149,1.424,2.058,2.36,2.295,2.024,1.806,1.651,,,,,,,,,,,,,,,,,
2008,Yes,Helser et al,Base,SB million mt,,,,,,,,2.901,2.838,2.749,2.738,2.792,2.891,3.166,3.844,4.18,4.198,4.354,4.254,4.06,3.989,4.518,4.454,4.721,5.839,6.461,5.923,5.442,5.174,5.012,4.513,4.031,3.551,2.984,2.512,2.128,1.64,1.345,1.181,1.066,0.963,0.884,1.049,1.626,1.899,1.828,1.554,1.279,1.067,1.096,,,,,,,,,,,,,,,,
2009,Yes,Hamel and Stewart,Base,SB million mt,,1.366,1.366,1.366,1.366,1.349,1.25,1.107,0.927,0.757,0.681,0.619,0.573,0.595,0.759,0.85,0.834,0.901,0.909,0.931,1.028,1.475,1.73,2.056,3.245,4.018,3.778,3.502,3.495,3.436,3.114,2.8,2.508,2.121,1.791,1.531,1.149,0.922,0.784,0.681,0.599,0.576,0.707,1.164,1.394,1.334,1.096,0.87,0.663,0.558,0.435,,,,,,,,,,,,,,,
2009,Yes,Hamel and Stewart,Base SD,SB mt SD hessian,,0.073,0.073,0.073,0.073,0.072,0.065,0.056,0.044,0.034,0.027,0.022,0.021,0.023,0.033,0.041,0.045,0.054,0.061,0.065,0.071,0.095,0.108,0.119,0.158,0.182,0.168,0.15,0.136,0.122,0.105,0.089,0.075,0.061,0.048,0.039,0.028,0.021,0.017,0.017,0.019,0.024,0.037,0.074,0.096,0.101,0.097,0.097,0.098,0.114,0.122,,,,,,,,,,,,,,,
