"age","year","M2"
"17","2014",0
"18","2014",0
"19","2014",0
"20","2014",0
"1","2015",0.652673184180729
"2","2015",0.012339904025485
"3","2015",0.00465042453186257
"4","2015",0.00501042747999781
"5","2015",0.00606778626039382
"6","2015",0
"7","2015",0
"8","2015",0
"9","2015",0
"10","2015",0
"11","2015",0
"12","2015",0
"13","2015",0
"14","2015",0
"15","2015",0
"16","2015",0
"17","2015",0
"18","2015",0
"19","2015",0
"20","2015",0
"1","2016",0.946973576327818
"2","2016",0.0137549857621538
"3","2016",0.00640337838115667
"4","2016",0.00721740821881945
"5","2016",0.00806898501992357
"6","2016",0
"7","2016",0
"8","2016",0
"9","2016",0
"10","2016",0
"11","2016",0
"12","2016",0
"13","2016",0
"14","2016",0
"15","2016",0
"16","2016",0
"17","2016",0
"18","2016",0
"19","2016",0
"20","2016",0
"1","2017",1.02320977291694
"2","2017",0.0263868145716397
"3","2017",0.00408878862863305
"4","2017",0.00372628736772518
"5","2017",0.00590269970545145
"6","2017",0
"7","2017",0
"8","2017",0
"9","2017",0
"10","2017",0
"11","2017",0
"12","2017",0
"13","2017",0
"14","2017",0
"15","2017",0
"16","2017",0
"17","2017",0
"18","2017",0
"19","2017",0
"20","2017",0
"1","2018",1.06980343519042
"2","2018",0.0415072765323953
"3","2018",0.00439006975182089
"4","2018",0.00426812761021049
"5","2018",0.00610835545265017
"6","2018",0
"7","2018",0
"8","2018",0
"9","2018",0
"10","2018",0
"11","2018",0
"12","2018",0
"13","2018",0
"14","2018",0
"15","2018",0
"16","2018",0
"17","2018",0
"18","2018",0
"19","2018",0
"20","2018",0
"1","2019",0.801940174545729
"2","2019",0.0764961436592094
"3","2019",0.00426223388404562
"4","2019",0.00343370539121158
"5","2019",0.00650541555322014
"6","2019",0
"7","2019",0
"8","2019",0
"9","2019",0
"10","2019",0
"11","2019",0
"12","2019",0
"13","2019",0
"14","2019",0
"15","2019",0
"16","2019",0
"17","2019",0
"18","2019",0
"19","2019",0
"20","2019",0
"1","2020",0.685777837417349
"2","2020",0.0293827395760013
"3","2020",0.00477310077521128
"4","2020",0.00387827358803828
"5","2020",0.00724188293137206
"6","2020",0
"7","2020",0
"8","2020",0
"9","2020",0
"10","2020",0
"11","2020",0
"12","2020",0
"13","2020",0
"14","2020",0
"15","2020",0
"16","2020",0
"17","2020",0
"18","2020",0
"19","2020",0
"20","2020",0
"1","2021",0.791740733400135
"2","2021",0.0198072281600894
"3","2021",0.00299406004685837
"4","2021",0.00292654408724236
"5","2021",0.00415568367523715
"6","2021",0
"7","2021",0
"8","2021",0
"9","2021",0
"10","2021",0
"11","2021",0
"12","2021",0
"13","2021",0
"14","2021",0
"15","2021",0
"16","2021",0
"17","2021",0
"18","2021",0
"19","2021",0
"20","2021",0
"1","2022",0.809502217442694
"2","2022",0.0575859260692289
"3","2022",0.00371201753797147
"4","2022",0.00247637949962652
"5","2022",0.00610467385269699
"6","2022",0
"7","2022",0
"8","2022",0
"9","2022",0
"10","2022",0
"11","2022",0
"12","2022",0
"13","2022",0
"14","2022",0
"15","2022",0
"16","2022",0
"17","2022",0
"18","2022",0
"19","2022",0
"20","2022",0
"1","2023",0.846306877059924
"2","2023",0.0382699203868086
"3","2023",0.00473168373007062
"4","2023",0.00387721031057318
"5","2023",0.00718763734320513
"6","2023",0
"7","2023",0
"8","2023",0
"9","2023",0
"10","2023",0
"11","2023",0
"12","2023",0
"13","2023",0
"14","2023",0
"15","2023",0
"16","2023",0
"17","2023",0
"18","2023",0
"19","2023",0
"20","2023",0
"1","2024",0.843416363283082
"2","2024",0.0221850495998218
"3","2024",0.01332402411359
"4","2024",0.00429653310662109
"5","2024",0.0255566561695931
"6","2024",0
"7","2024",0
"8","2024",0
"9","2024",0
"10","2024",0
"11","2024",0
"12","2024",0
"13","2024",0
"14","2024",0
"15","2024",0
"16","2024",0
"17","2024",0
"18","2024",0
"19","2024",0
"20","2024",0
"1","2025",1.12478311496765
"2","2025",0.0351706385058934
"3","2025",0.0127889254239938
"4","2025",0.0136747419768679
"5","2025",0.0167076691850724
"6","2025",0
"7","2025",0
"8","2025",0
"9","2025",0
"10","2025",0
"11","2025",0
"12","2025",0
"13","2025",0
"14","2025",0
"15","2025",0
"16","2025",0
"17","2025",0
"18","2025",0
"19","2025",0
"20","2025",0
"1","2026",1.22399776880087
"2","2026",0.0788862714222557
"3","2026",0.0129557715540047
"4","2026",0.0137707120219971
"5","2026",0.0169918791483512
"6","2026",0
"7","2026",0
"8","2026",0
"9","2026",0
"10","2026",0
"11","2026",0
"12","2026",0
"13","2026",0
"14","2026",0
"15","2026",0
"16","2026",0
"17","2026",0
"18","2026",0
"19","2026",0
"20","2026",0
"1","2027",1.94186362276716
"2","2027",0.0352269232296245
"3","2027",0.015196917852588
"4","2027",0.0163793757801249
"5","2027",0.0197311562737515
"6","2027",0
"7","2027",0
"8","2027",0
"9","2027",0
"10","2027",0
"11","2027",0
"12","2027",0
"13","2027",0
"14","2027",0
"15","2027",0
