Source,Weight_kg,Sex,Age_yrs,Month,Year
CAN_polish,0.674,U,5,8,1989
CAN_polish,0.691,U,5,8,1989
CAN_polish,0.702,U,5,8,1989
CAN_polish,0.745,U,5,8,1989
CAN_polish,0.746,U,5,8,1989
CAN_polish,0.747,U,5,8,1989
CAN_polish,0.748,U,5,8,1989
CAN_polish,0.755,U,5,8,1989
CAN_polish,0.757,U,5,8,1989
CAN_polish,0.764,U,5,8,1989
CAN_polish,0.764,U,5,8,1989
CAN_polish,0.765,U,5,8,1989
CAN_polish,0.779,U,5,8,1989
CAN_polish,0.807,U,5,8,1989
CAN_polish,0.808,U,5,8,1989
CAN_polish,0.81,U,5,8,1989
CAN_polish,0.823,U,5,8,1989
CAN_polish,0.863,U,5,8,1989
CAN_polish,0.94,U,5,8,1989
CAN_polish,0.51,U,9,8,1989
CAN_polish,0.52,U,9,8,1989
CAN_polish,0.533,U,9,8,1989
CAN_polish,0.544,U,9,8,1989
CAN_polish,0.559,U,9,8,1989
CAN_polish,0.561,U,9,8,1989
CAN_polish,0.577,U,9,8,1989
CAN_polish,0.582,U,9,8,1989
CAN_polish,0.587,U,9,8,1989
CAN_polish,0.605,U,9,8,1989
CAN_polish,0.605,U,9,8,1989
CAN_polish,0.607,U,9,8,1989
CAN_polish,0.611,U,9,8,1989
CAN_polish,0.622,U,9,8,1989
CAN_polish,0.629,U,9,8,1989
CAN_polish,0.632,U,9,8,1989
CAN_polish,0.65,U,9,8,1989
CAN_polish,0.652,U,9,8,1989
CAN_polish,0.662,U,9,8,1989
CAN_polish,0.662,U,9,8,1989
CAN_polish,0.666,U,9,8,1989
CAN_polish,0.673,U,9,8,1989
CAN_polish,0.674,U,9,8,1989
CAN_polish,0.682,U,9,8,1989
CAN_polish,0.689,U,9,8,1989
CAN_polish,0.729,U,9,8,1989
CAN_polish,0.741,U,9,8,1989
CAN_polish,0.747,U,9,8,1989
CAN_polish,0.749,U,9,8,1989
CAN_polish,0.764,U,9,8,1989
CAN_polish,0.767,U,9,8,1989
CAN_polish,0.768,U,9,8,1989
CAN_polish,0.78,U,9,8,1989
