"Source","Weight_kg","Sex","Age_yrs","Length_cm","Month","Year"
"Acoustic U.S.",0.118,"M",1,26,"7","2021"
"Acoustic U.S.",0.118,"M",1,27,"7","2021"
"Acoustic U.S.",0.12,"M",1,27,"7","2021"
"Acoustic U.S.",0.13,"M",1,27,"7","2021"
"Acoustic U.S.",0.126,"M",1,28,"7","2021"
"Acoustic U.S.",0.128,"M",1,28,"7","2021"
"Acoustic U.S.",0.132,"M",1,28,"7","2021"
"Acoustic U.S.",0.134,"M",1,28,"7","2021"
"Acoustic U.S.",0.146,"M",1,28,"7","2021"
"Acoustic U.S.",0.086,"F",1,24,"7","2021"
"Acoustic U.S.",0.088,"F",1,24,"7","2021"
"Acoustic U.S.",0.088,"F",1,25,"7","2021"
"Acoustic U.S.",0.094,"F",1,25,"7","2021"
"Acoustic U.S.",0.1,"F",1,25,"7","2021"
"Acoustic U.S.",0.104,"F",1,25,"7","2021"
"Acoustic U.S.",0.106,"F",1,26,"7","2021"
"Acoustic U.S.",0.114,"F",1,26,"7","2021"
"Acoustic U.S.",0.116,"F",1,26,"7","2021"
"Acoustic U.S.",0.114,"F",1,27,"7","2021"
"Acoustic U.S.",0.114,"F",1,27,"7","2021"
"Acoustic U.S.",0.134,"F",1,27,"7","2021"
"Acoustic U.S.",0.134,"F",1,28,"7","2021"
"Acoustic U.S.",0.964,"F",9,53,"7","2021"
"Acoustic U.S.",0.108,"M",1,25,"7","2021"
"Acoustic U.S.",0.1,"M",1,26,"7","2021"
"Acoustic U.S.",0.102,"M",1,26,"7","2021"
"Acoustic U.S.",0.104,"M",1,26,"7","2021"
"Acoustic U.S.",0.11,"M",1,26,"7","2021"
"Acoustic U.S.",0.126,"M",1,26,"7","2021"
"Acoustic U.S.",0.142,"M",1,26,"7","2021"
"Acoustic U.S.",0.102,"M",1,27,"7","2021"
"Acoustic U.S.",0.108,"M",1,27,"7","2021"
"Acoustic U.S.",0.116,"M",1,27,"7","2021"
"Acoustic U.S.",0.116,"M",1,27,"7","2021"
"Acoustic U.S.",0.118,"M",1,27,"7","2021"
"Acoustic U.S.",0.12,"M",1,27,"7","2021"
"Acoustic U.S.",0.124,"M",1,27,"7","2021"
"Acoustic U.S.",0.126,"M",1,27,"7","2021"
"Acoustic U.S.",0.132,"M",1,27,"7","2021"
"Acoustic U.S.",0.14,"M",1,27,"7","2021"
"Acoustic U.S.",0.126,"M",1,28,"7","2021"
"Acoustic U.S.",0.138,"M",1,28,"7","2021"
"Acoustic U.S.",0.14,"M",1,28,"7","2021"
"Acoustic U.S.",0.13,"M",1,29,"7","2021"
"Acoustic U.S.",0.134,"M",1,29,"7","2021"
"Acoustic U.S.",0.134,"M",1,29,"7","2021"
"Acoustic U.S.",0.142,"M",1,29,"7","2021"
"Acoustic U.S.",0.156,"M",1,29,"7","2021"
"Acoustic U.S.",0.164,"M",1,29,"7","2021"
"Acoustic U.S.",0.178,"M",3,31,"7","2021"
"Acoustic U.S.",0.182,"M",2,31,"7","2021"
"Acoustic U.S.",0.19,"M",2,31,"7","2021"
"Acoustic U.S.",0.232,"M",3,34,"7","2021"
"Acoustic U.S.",0.392,"M",2,40,"7","2021"
"Acoustic U.S.",0.08,"F",1,24,"7","2021"
"Acoustic U.S.",0.104,"F",1,25,"7","2021"
"Acoustic U.S.",0.104,"F",1,26,"7","2021"
"Acoustic U.S.",0.106,"F",1,26,"7","2021"
"Acoustic U.S.",0.114,"F",1,27,"7","2021"
"Acoustic U.S.",0.114,"F",1,27,"7","2021"
"Acoustic U.S.",0.116,"F",1,27,"7","2021"
"Acoustic U.S.",0.118,"F",1,27,"7","2021"
"Acoustic U.S.",0.13,"F",1,27,"7","2021"
"Acoustic U.S.",0.136,"F",1,27,"7","2021"
"Acoustic U.S.",0.128,"F",1,28,"7","2021"
"Acoustic U.S.",0.132,"F",1,28,"7","2021"
"Acoustic U.S.",0.134,"F",1,28,"7","2021"
