Sampling_platform,Year,Month,Latitude,Season,Visual Maturity Code,Weight_kg,Length_cm,Age,Certainty ,o_1,o_2,o_3,o_4_1,o_4_2,o_5,o_6,o_7,o_8,o_9,Biological_maturity,Prop_atresia,Spent,Batch_spent,Spawning,POFs Present Y/N,Histology Notes,Data Notes
ASHOP,2015,5,42.225,spring,NA,0.48,44,5,1,Y,Y,Y,Y,Y,N,N,N,N,N,1,0.02,0,0,0,0,"Well developed oocytes, not more than 20% yolk development, but oocytes are large.",
ASHOP,2015,5,42.18167,spring,NA,0.48,43,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.02,0,0,0,0,Only a couple of oocytes with very early yolk development,
ASHOP,2015,5,42.19333,spring,NA,0.73,51,10,1,Y,Y,Y,Y,Y,N,N,N,N,N,1,0.02,0,0,0,0,Only early yolk development,
ASHOP,2015,5,42.33333,spring,NA,0.47,44,5,1,Y,Y,Y,Y,Y,N,N,N,N,N,1,0.02,0,0,0,0,early yolk development,
ASHOP,2015,5,42.25,spring,NA,0.4,40,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.02,0,0,0,0,,
ASHOP,2015,5,42.10167,spring,NA,0.43,42,5,0,Y,Y,Y,N,N,N,N,N,N,N,0,0.02,0,0,0,0,"No yolk observed, but close to maturing, uncertain if this was just close to last spawning season",
ASHOP,2015,5,42.11667,spring,NA,0.41,41,5,0,Y,Y,Y,N,N,N,N,N,N,N,0,0.02,0,0,0,0,"uncertain about this one, possibly to early in the season",
ASHOP,2015,5,42.08,spring,NA,0.49,44,6,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.02,0,0,0,0,"Early yolk development, part of slide is poor quality and staining, but able to identify early yolk in some oocytes",
ASHOP,2015,5,42.085,spring,NA,0.55,45,5,1,Y,Y,Y,Y,Y,N,N,N,N,N,1,0.02,0,0,0,0,,
ASHOP,2015,5,42.09333,spring,NA,0.36,40,5,0,Y,Y,Y,N,N,N,N,N,N,N,0,0.02,0,0,0,0,"Possibly post spawning, one hydrated oocyte in atresia. ",
ASHOP,2015,5,42.08333,spring,NA,0.39,42,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.02,0,0,0,0,,
ASHOP,2015,5,42.01667,spring,NA,0.47,44,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.02,0,0,0,0,,
ASHOP,2015,5,42.165,spring,NA,0.39,42,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.02,0,0,0,0,Only a couple of oocytes with very early yolk development,
ASHOP,2015,5,42.03472,spring,NA,0.41,42,5,1,Y,Y,Y,Y,N,N,N,N,N,N,1,0.02,0,0,0,0,,
ASHOP,2015,5,42.08833,spring,NA,0.46,43,5,1,Y,Y,Y,Y,Y,N,N,N,N,N,1,0.02,0,0,0,0,,
