"NatM_p_1_Fem_GP_1","SR_LN(R0)","SR_BH_steep","Q_extraSD_2_Acoustic_Survey"
0.224504,14.8929,0.782061,0.346713
0.234244,14.9187,0.727242,0.335417
0.242937,14.8507,0.926768,0.466156
0.199939,14.67,0.770305,0.218415
0.221872,14.7917,0.858799,0.508636
0.238,15.2814,0.642759,0.364125
0.223519,14.8502,0.867753,0.39932
0.230657,14.8972,0.808963,0.186712
0.218366,14.8814,0.593015,0.299629
0.232794,14.9069,0.727443,0.224674
0.223345,14.9904,0.870902,0.42842
0.212002,14.9331,0.759293,0.235196
0.230407,14.9961,0.785866,0.399186
0.258697,15.4593,0.804205,0.701658
0.260196,15.3371,0.799736,0.357543
0.264208,15.4794,0.641695,0.494959
0.204815,14.6757,0.87836,0.562544
0.240142,15.0532,0.90987,0.295631
0.189277,14.6551,0.945047,0.533757
0.245562,14.8618,0.82454,0.360341
0.218315,14.7772,0.796249,0.767706
0.175946,14.4141,0.907824,0.578785
0.202155,14.6711,0.710185,0.374842
0.214071,14.6973,0.862068,0.133826
0.218687,14.699,0.93889,0.339163
0.25483,15.2206,0.825806,0.494468
0.218399,14.7626,0.90436,0.320858
0.258683,15.1298,0.711769,0.315572
0.228599,14.605,0.576189,0.182822
0.241126,15.0996,0.79808,0.433055
0.210308,14.8241,0.903976,0.263956
0.219124,14.9518,0.84722,0.348582
0.222416,14.805,0.864846,0.454656
0.223513,14.902,0.908503,0.224886
0.224009,14.93,0.742952,0.588975
0.240191,15.054,0.859005,0.292776
0.250623,15.1665,0.962362,0.54457
0.211178,14.6542,0.761725,0.571964
0.19276,14.5176,0.883825,0.20486
0.188768,14.6393,0.857888,0.360932
0.222118,15.1322,0.631676,0.213844
0.247951,15.2397,0.813978,0.411252
0.242074,14.6417,0.854821,0.556018
0.240451,15.1209,0.864625,0.409526
0.230239,14.877,0.873409,0.35412
0.181569,14.487,0.780189,0.343185
0.216862,14.8532,0.817635,0.237009
0.237789,15.0332,0.909222,0.259248
0.221564,14.8616,0.729038,0.327389
0.220369,14.9059,0.82568,0.409629
0.20894,14.5356,0.873586,0.345362
0.233716,15.045,0.866118,0.409306
0.232919,15.2186,0.851687,0.336536
0.272283,15.4313,0.849377,0.496651
0.231552,15.1946,0.644515,0.506363
0.253635,15.2683,0.918149,0.378238
0.236554,14.9868,0.819622,0.320119
0.228063,14.7766,0.789204,0.382272
0.225602,15.0806,0.716669,0.371174
0.212381,14.7481,0.737871,0.450668
0.226215,14.9878,0.898319,0.543755
0.192859,14.4985,0.794823,0.391909
0.245488,14.9844,0.922671,0.447146
0.226095,14.8814,0.697548,0.393271
0.235197,15.0524,0.783561,0.566569
0.229688,14.8344,0.773494,0.239494
0.216051,14.7561,0.767827,0.395162
0.205308,14.7689,0.86948,0.266636
0.22926,14.7068,0.90519,0.270231
0.222625,14.8015,0.890092,0.244182
0.202983,14.5522,0.915632,0.396621
0.238161,15.0231,0.886552,0.288829
0.239413,15.1204,0.940617,0.492182
0.171477,14.3394,0.776811,0.252199
0.244597,15.1058,0.851967,0.486165
0.236669,15.0292,0.796662,0.394898
0.224134,14.6193,0.872524,0.410236
0.196145,14.557,0.849308,0.258764
0.250119,15.0842,0.884653,0.717188
0.228286,14.9456,0.958823,0.34052
0.256609,15.1706,0.745964,0.379261
0.19412,14.5542,0.799613,0.302211
0.210965,14.9023,0.683708,0.244711
0.239753,14.9989,0.736521,0.293419
0.246399,15.1547,0.799668,0.38575
0.222261,14.8235,0.836946,0.201853
0.210225,14.887,0.690476,0.420297
0.242866,15.0703,0.683655,0.338877
0.221722,14.8408,0.89471,0.311932
0.252372,15.2419,0.838022,0.588574
0.20796,14.8352,0.757256,0.38774
0.222017,14.905,0.630778,0.385344
0.221574,14.7722,0.882031,0.370601
0.242697,15.0947,0.6998,0.543947
0.222256,14.9008,0.728161,0.24211
0.200224,14.6043,0.782476,0.309334
0.240868,15.0879,0.85746,0.378364
0.196742,14.4568,0.762446,0.259118
0.223084,14.904,0.86062,0.644309
0.199491,14.7135,0.84037,0.251285
0.199983,14.498,0.824848,0.335981
0.219478,14.7975,0.717143,0.453378
0.237387,14.9449,0.881824,0.424756
0.18826,14.7069,0.94022,0.67415
0.240889,15.0286,0.642203,0.31682
0.225551,14.8436,0.878894,0.452721
0.215836,14.8341,0.705014,0.317494
0.230031,14.9154,0.684295,0.36969
0.243093,14.8698,0.675221,0.316593
0.18385,14.6214,0.73219,0.295309
0.230332,14.9819,0.77956,0.392649
0.212557,14.6673,0.871736,0.261843
0.223448,14.7414,0.92226,0.335768
0.205963,14.6168,0.722425,0.172039
0.225171,14.8559,0.641609,0.486059
0.254483,15.1584,0.839655,0.190258
0.241505,15.0879,0.850637,0.417652
0.295068,15.7714,0.73835,0.49165
0.196465,14.5218,0.876067,0.347818
0.228272,15.0019,0.894855,0.538407
0.221401,14.9674,0.900924,0.262747
0.235493,15.0831,0.836826,0.565844
0.209285,14.7962,0.762631,0.282285
0.197662,14.5276,0.776409,0.265441
0.210258,14.6451,0.750789,0.332222
0.218686,14.6733,0.792852,0.512712
0.232677,14.7948,0.948946,0.576086
0.232736,15.0558,0.664719,0.425469
0.221281,14.988,0.876398,0.306534
0.212219,14.667,0.719632,0.415605
0.220041,14.8541,0.812158,0.235902
0.226046,14.6124,0.934008,0.414459
0.22738,14.9499,0.856486,0.339887
0.202964,14.6518,0.694826,0.354141
0.227503,14.8831,0.865856,0.432728
0.22344,14.7583,0.803078,0.355099
0.199895,14.5304,0.72184,0.408784
0.217865,15.0216,0.485479,0.293958
0.223885,14.9361,0.696742,0.492932
0.235908,14.9804,0.956575,0.486905
0.220693,14.8788,0.838646,0.305913
0.249853,15.126,0.869958,0.433286
0.236531,14.884,0.836579,0.634031
0.233236,15.1628,0.70981,0.39702
0.205506,14.6408,0.894195,0.597259
0.267525,15.2478,0.812718,0.453171
0.191265,14.6382,0.863387,0.231203
0.226251,14.8356,0.877245,0.486579
0.2313,15.1363,0.852929,0.683375
0.236133,14.9709,0.668801,0.31653
0.217664,14.5396,0.862056,0.2736
0.217275,15.0056,0.911741,0.372928
0.25208,15.1426,0.785443,0.323792
0.238351,14.8864,0.914388,0.318009
0.22735,14.9613,0.586814,0.390924
0.202171,14.6746,0.875299,0.363677
0.233855,15.0367,0.846289,0.449931
0.255004,15.2816,0.892802,0.855561
0.242922,14.9709,0.900492,0.525429
0.243792,15.0988,0.853089,0.346252
0.232509,15.1066,0.770659,0.288113
0.242899,15.0866,0.76243,0.327789
0.207376,14.6218,0.864009,0.232389
0.195746,14.5537,0.675657,0.19202
0.215637,14.8472,0.95897,0.418231
0.249349,14.9994,0.679763,0.57192
0.188479,14.378,0.84034,0.352013
0.228853,14.9567,0.880157,0.240688
0.193328,14.5658,0.939033,0.319781
0.19225,14.5965,0.745622,0.428459
0.259926,15.3087,0.86707,0.291468
0.225173,14.9922,0.747223,0.354843
0.225247,15.0258,0.663871,0.166805
0.238256,15.0011,0.793778,0.36509
0.219086,14.7512,0.840312,0.524116
0.230396,14.8311,0.846353,0.691694
0.203614,14.6398,0.809809,0.451164
0.229099,15.0283,0.708861,0.405713
0.224461,15.0465,0.800536,0.212487
0.22827,14.8221,0.726635,0.301454
0.208095,14.63,0.700068,0.426102
0.218792,14.859,0.814401,0.234135
0.212318,14.9392,0.626409,0.317612
0.203216,14.6872,0.952403,0.345937
0.208641,14.5159,0.864055,0.285211
0.221397,14.5746,0.808581,0.336948
0.20867,14.7475,0.724415,0.280094
0.230849,14.9623,0.770253,0.335621
0.235526,15.0825,0.715531,0.480221
0.229917,14.9217,0.969431,0.307105
0.248605,15.2772,0.744957,0.308127
0.219366,14.9596,0.6374,0.20306
0.203922,14.6671,0.907318,0.599638
0.195824,14.4541,0.706111,0.602955
0.215558,14.7822,0.792403,0.189962
0.24653,14.9601,0.798704,0.384951
0.230393,15.067,0.715485,0.264401
0.230057,14.9687,0.77008,0.318395
0.227072,14.8043,0.897811,0.301309
0.197226,14.7112,0.690559,0.34697
0.198349,14.6347,0.816854,0.270046
0.202375,14.7522,0.762015,0.522056
0.239903,14.9516,0.813468,0.54753
0.206611,14.9304,0.639385,0.314367
0.231376,15.0823,0.982459,0.433558
0.222601,14.9169,0.756887,0.506387
0.216774,15.0244,0.65521,0.337268
0.216367,14.9504,0.726072,0.518732
0.213683,14.8787,0.700037,0.471857
0.212322,14.6853,0.839013,0.376828
0.257513,15.1583,0.732704,0.640621
0.240985,14.8915,0.889556,0.880905
0.220727,15.0458,0.773207,0.310359
0.203982,14.7848,0.803834,0.347222
0.19471,14.7622,0.66173,0.409258
0.20437,14.7211,0.776725,0.255951
0.236414,14.9811,0.814747,0.592333
0.235823,15.0051,0.440447,0.35862
0.240064,15.1882,0.728408,0.354437
0.209868,14.9974,0.664407,0.428192
0.215222,15.0286,0.557221,0.284934
0.231051,15.0675,0.698999,0.359591
0.237229,14.9262,0.793623,0.223536
0.182158,14.4218,0.901584,0.355266
0.220332,14.725,0.888983,0.384785
0.214153,14.9188,0.608345,0.323241
0.207963,14.6642,0.845743,0.335952
0.239699,15.1358,0.879201,0.39943
0.223458,14.9203,0.90449,0.314372
0.204138,14.6131,0.861743,0.574475
0.221318,14.9158,0.669757,0.576915
0.261745,15.2744,0.78531,0.290393
0.251881,15.2385,0.736655,0.333756
0.197333,14.7033,0.883147,0.217476
0.226174,14.8821,0.67518,0.229279
0.211925,14.6634,0.904417,0.259779
0.223964,14.9998,0.637544,0.371135
0.2117,14.8683,0.997212,0.341924
0.227266,15.1504,0.816741,0.298211
0.23395,15.0851,0.717338,0.512167
0.276454,15.6859,0.803991,0.338407
0.259103,15.206,0.728734,0.547154
0.259832,15.143,0.82635,0.365379
0.217563,14.8057,0.795306,0.342752
0.218397,14.6565,0.924757,0.306978
0.235026,14.8551,0.980701,0.430509
0.235259,14.8319,0.834164,0.628609
0.21889,14.8239,0.810285,0.597468
0.243749,15.172,0.778671,0.465087
0.197521,14.6485,0.858739,0.250569
0.240825,15.0518,0.786961,0.55272
0.269866,15.2837,0.930407,0.338684
0.248908,15.197,0.943772,0.416869
0.222937,14.9,0.82579,0.621792
0.252808,15.2599,0.823103,0.31941
0.251573,15.2529,0.557794,0.53246
0.242624,15.2552,0.613876,0.443504
0.222409,14.7952,0.777003,0.378498
0.239448,15.0619,0.616901,0.366721
0.255367,15.0901,0.845292,0.355468
0.211372,14.762,0.88793,0.412847
0.218923,14.6835,0.840763,0.50156
0.207805,14.6609,0.71218,0.303763
0.208254,14.8979,0.781913,0.475395
0.237016,15.0555,0.801469,0.668319
0.214827,14.6366,0.781866,0.348682
0.240614,15.0141,0.94126,0.393375
0.238359,15.1428,0.89291,0.650712
0.232361,14.9083,0.891734,0.378026
0.222747,15.015,0.763255,0.259545
0.23075,14.9797,0.793485,0.361215
0.19499,14.6356,0.542265,0.284523
0.214843,14.7085,0.781746,0.290617
0.223536,14.812,0.785573,0.356959
0.199556,14.7052,0.720757,0.509778
0.259545,15.0254,0.876785,0.314243
0.219662,14.9189,0.771137,0.72869
0.226273,14.9285,0.950443,0.475551
0.238623,14.9191,0.860475,0.37073
0.251703,15.0297,0.916947,0.391433
0.238476,15.1734,0.9062,0.290949
0.223492,14.9289,0.937096,0.416053
0.199582,14.4834,0.906019,0.332598
0.185748,14.6343,0.746853,0.379592
0.219505,14.6928,0.839121,0.523582
0.165323,14.246,0.863678,0.306923
0.220764,14.8211,0.762802,0.419926
0.183057,14.4734,0.77961,0.317438
0.222319,14.8802,0.799963,0.433651
0.228074,14.9913,0.75436,0.240877
0.246029,15.1862,0.645115,0.758803
0.209103,14.7063,0.792141,0.648138
0.231374,15.0595,0.713347,0.240436
0.26427,15.1538,0.8041,0.257534
0.209832,14.7584,0.723352,0.264037
0.254374,15.2263,0.685252,0.479754
0.216857,15.2238,0.680546,0.373319
0.235646,15.0818,0.83018,0.332147
0.228277,14.7276,0.841881,0.39486
0.234774,15.0915,0.852473,0.311966
0.236448,14.9515,0.887103,0.470959
0.197108,14.5792,0.921876,0.542773
0.192126,14.6004,0.893817,0.669717
0.228,14.884,0.913593,0.376452
0.244299,14.8193,0.923445,0.382206
0.212816,14.7118,0.886246,0.336196
0.200669,14.7426,0.716027,0.543448
0.207063,14.7271,0.876887,0.475483
0.244611,14.9944,0.930512,0.378709
0.213738,14.5876,0.909588,0.27236
0.201204,14.8728,0.812872,0.626546
