Source,Weight_kg,Sex,Age_yrs,Length_cm,Month,Year
ATSEA,0.42,M,4,43,6,2010
ATSEA,0.18,F,2,31,6,2010
ATSEA,0.38,M,4,39,6,2010
ATSEA,0.38,M,4,40,6,2010
ATSEA,0.5,F,5,42,6,2010
ATSEA,0.36,M,4,39,6,2010
ATSEA,0.49,M,5,44,6,2010
ATSEA,0.31,F,4,38,6,2010
ATSEA,0.32,M,4,38,6,2010
ATSEA,0.34,M,4,39,6,2010
ATSEA,0.4,M,6,43,6,2010
ATSEA,0.54,M,4,41,5,2010
ATSEA,0.48,M,4,43,5,2010
ATSEA,0.54,M,5,45,5,2010
ATSEA,0.15,M,2,28,5,2010
ATSEA,0.18,M,2,30,5,2010
ATSEA,0.24,F,2,34,5,2010
ATSEA,0.33,M,4,39,6,2010
ATSEA,0.74,F,10,51,6,2010
ATSEA,1.95,F,10,69,6,2010
ATSEA,0.28,M,4,37,6,2010
ATSEA,0.34,M,4,39,6,2010
ATSEA,0.33,M,4,39,6,2010
ATSEA,0.4,M,4,42,6,2010
ATSEA,0.57,M,5,46,6,2010
ATSEA,0.48,F,5,44,6,2010
ATSEA,0.31,M,4,38,6,2010
ATSEA,0.38,M,4,40,6,2010
ATSEA,0.37,M,4,44,6,2010
ATSEA,0.41,M,4,41,6,2010
ATSEA,0.46,F,4,44,6,2010
ATSEA,0.61,F,7,47,6,2010
ATSEA,0.43,M,5,44,6,2010
ATSEA,0.53,M,5,45,6,2010
ATSEA,0.58,F,7,46,6,2010
ATSEA,0.41,M,4,42,6,2010
ATSEA,0.38,F,4,39,6,2010
ATSEA,0.46,F,5,42,6,2010
ATSEA,0.51,M,4,44,6,2010
ATSEA,0.5,M,4,44,6,2010
ATSEA,0.52,M,4,45,6,2010
ATSEA,0.4,M,4,42,6,2010
ATSEA,0.42,M,4,43,6,2010
ATSEA,0.26,M,4,36,6,2010
ATSEA,0.45,M,4,40,6,2010
ATSEA,0.44,M,4,43,6,2010
ATSEA,0.62,M,11,49,6,2010
ATSEA,0.45,M,4,41,6,2010
ATSEA,0.58,M,5,46,6,2010
ATSEA,0.39,F,4,41,6,2010
ATSEA,0.34,M,4,38,6,2010
ATSEA,0.44,M,4,40,6,2010
ATSEA,0.37,F,4,39,6,2010
ATSEA,0.42,M,4,41,6,2010
ATSEA,0.76,M,11,51,6,2010
ATSEA,0.47,F,5,41,6,2010
ATSEA,0.6,M,7,48,5,2010
ATSEA,0.53,F,5,46,5,2010
ATSEA,0.55,M,5,45,5,2010
ATSEA,0.54,F,5,44,5,2010
ATSEA,0.72,F,10,53,5,2010
ATSEA,0.3,F,2,37,5,2010
ATSEA,0.31,M,4,39,5,2010
ATSEA,0.45,M,5,42,5,2010
ATSEA,0.34,M,4,39,5,2010
ATSEA,0.37,M,4,42,5,2010
ATSEA,0.44,F,4,42,5,2010
ATSEA,0.23,F,2,34,5,2010
ATSEA,0.17,M,2,31,5,2010
ATSEA,0.19,M,2,32,5,2010
ATSEA,0.59,M,4,44,5,2010
ATSEA,0.49,F,4,42,5,2010
ATSEA,0.79,F,11,53,5,2010
ATSEA,0.25,M,2,34,5,2010
ATSEA,0.2,F,4,33,5,2010
ATSEA,0.22,F,2,34,5,2010
ATSEA,0.4,M,4,41,5,2010
ATSEA,0.24,F,2,35,5,2010
ATSEA,0.42,M,5,43,5,2010
ATSEA,0.62,M,11,47,5,2010
ATSEA,0.37,F,4,40,5,2010
ATSEA,0.33,F,4,39,6,2010
